id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
503,1,0,1,0,3.9,Administración,Decisión y apoyo,19.5,1,> 1 año,5,5,0.3,1,20 a 24,1 a 4,595
504,0,0,1,0,4.2,Administración,Decisión y apoyo,7.5,0,0,7,6,0.9,1,20 a 24,1 a 4,478
505,0,0,2,0,7.8,Administración,Decisión y apoyo,6.2,2,> 1 año,3,3,0.5,1,10 a 14,1 a 4,0
506,0,0,3,0,1.2,Administración,Decisión y apoyo,3.3,0,0,3,2,0.9,0,20 a 24,5 a 9,321
507,1,0,0,0,0,Administración,Decisión y apoyo,7.7,0,0,2,2,0.3,0,5 a 9,0,0
508,1,0,6,0,1.9,Administración,Decisión y apoyo,11.9,0,0,3,3,0.3,1,15 a 19,1 a 4,0
509,0,0,10,0,19.7,Administración,Decisión y apoyo,14.6,0,0,6,5,0.4,1,10 a 14,1 a 4,0
510,1,0,1,0,5.5,Administración,Decisión y apoyo,4.8,1,4 a 6,3,3,0.6,0,5 a 9,0,0
511,1,0,3,0,9.7,Administración,Decisión y apoyo,45.7,4,> 1 año,12,9,0.3,1,15 a 19,1 a 4,166
512,0,0,2,0,0,Administración,Decisión y apoyo,9.7,0,0,5,5,0.5,0,15 a 19,5 a 9,0
513,1,0,1,0,0,Administración,Decisión y apoyo,13.7,1,> 1 año,2,2,0.1,0,1 a 4,1 a 4,0
514,0,0,2,0,1.9,Administración,Decisión y apoyo,4.8,1,7 a 12,4,4,0.8,1,10 a 14,1 a 4,335
515,0,0,0,0,0,Administración,Decisión y apoyo,8.5,0,0,5,4,0.6,0,5 a 9,1 a 4,0
516,0,0,1,0,0,Administración,Decisión y apoyo,38.7,6,> 1 año,15,12,0.4,0,20 a 24,5 a 9,477
517,1,0,3,0,11.8,Administración,Decisión y apoyo,20.7,0,0,12,12,0.6,0,5 a 9,1 a 4,0
518,0,0,1,0,6.9,Administración,Decisión y apoyo,5.5,0,0,6,4,1.1,0,20 a 24,1 a 4,0
519,1,0,2,0,9.8,Administración,Decisión y apoyo,43.6,3,1 a 3,8,8,0.2,1,20 a 24,1 a 4,0
